hestia_id,product_id,product_name,country,start_year,end_year,functional_unit_quantity,functional_unit,freshwater_withdrawal_l_per_kg,scarcity_weighted_water_aware_l_eq_per_kg,scarcity_weighted_water_ef31_l_eq_per_kg,aggregated_quality_score,aggregated_quality_score_max,aggregated_data_validated,irrigated,organic,source_id,data_release
riceGrainInHuskFlooded-spain-2010-2025-20250428,riceGrainInHuskFlooded,"Rice, grain (in husk), flooded",Spain,2010,2025,1,kg,,,,1,4,False,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
riceGrainInHuskFlooded-viet-nam-2010-2025-20250428,riceGrainInHuskFlooded,"Rice, grain (in husk), flooded",Viet Nam,2010,2025,1,kg,1211.5460714338058,21504.94276795005,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
ryeGrain-germany-2010-2025-20250501,ryeGrain,"Rye, grain",Germany,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
safflowerSeedWhole-india-2010-2025-20250427,safflowerSeedWhole,"Safflower, seed (whole)",India,2010,2025,1,kg,,,0.0,0,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sesameSeedWhole-india-2010-2025-20250427,sesameSeedWhole,"Sesame, seed (whole)",India,2010,2025,1,kg,,,0.0,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sorghumGrain-india-2010-2025-20250429,sorghumGrain,"Sorghum, grain",India,2010,2025,1,kg,,,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sorrelLeaf-cote-divoire-2010-2025-20250427,sorrelLeaf,"Sorrel, leaf",Côte d'Ivoire,2010,2025,1,kg,42.11753873463691,268.33083927837174,288.50514033226284,0,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
soybeanSeedWhole-argentina-2010-2025-20250218,soybeanSeedWhole,"Soybean, seed (whole)",Argentina,2010,2025,1,kg,0.007630960703004972,0.28690122955087793,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
soybeanSeedWhole-brazil-2010-2025-20250430,soybeanSeedWhole,"Soybean, seed (whole)",Brazil,2010,2025,1,kg,0.000699397559619432,0.001855501725670353,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
soybeanSeedWhole-china-2010-2025-20250430,soybeanSeedWhole,"Soybean, seed (whole)",China,2010,2025,1,kg,275.53535334448935,12632.469344784804,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
soybeanSeedWhole-india-2010-2025-20250426,soybeanSeedWhole,"Soybean, seed (whole)",India,2010,2025,1,kg,1.0560215463117522,32.20232103323057,31.047033461565512,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
soybeanSeedWhole-iran-2010-2025-20250430,soybeanSeedWhole,"Soybean, seed (whole)",Iran,2010,2025,1,kg,1021.5784741712617,68293.54257682302,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
soybeanSeedWhole-united-states-2010-2025-20250501,soybeanSeedWhole,"Soybean, seed (whole)",United States,2010,2025,1,kg,0.20321513258910834,7.257828460420005,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
spinachLeaf-iran-2010-2025-20250430,spinachLeaf,"Spinach, leaf",Iran,2010,2025,1,kg,219.43027956315382,14669.133619076396,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
strawberryFruit-iran-2010-2025-20250430,strawberryFruit,"Strawberry, fruit",Iran,2010,2025,1,kg,346.88432600996566,23189.564078092215,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarBeetRoot-france-2010-2025-20250430,sugarBeetRoot,"Sugar beet, root",France,2010,2025,1,kg,1.5655597108428514,14.85246497676613,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarBeetRoot-germany-2010-2025-20250430,sugarBeetRoot,"Sugar beet, root",Germany,2010,2025,1,kg,0.0,0.0,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarBeetRoot-iran-2010-2025-20250430,sugarBeetRoot,"Sugar beet, root",Iran,2010,2025,1,kg,171.6603122910926,11475.663536971831,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarBeetRoot-sweden-2010-2025-20250430,sugarBeetRoot,"Sugar beet, root",Sweden,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarBeetRoot-united-states-2010-2025-20250430,sugarBeetRoot,"Sugar beet, root",United States,2010,2025,1,kg,17.10253313217532,610.8169708156416,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarcaneStalk-brazil-2010-2025-20250430,sugarcaneStalk,"Sugarcane, stalk",Brazil,2010,2025,1,kg,1.8857374549268837,5.002861467921022,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarcaneStalk-india-2010-2025-20250426,sugarcaneStalk,"Sugarcane, stalk",India,2010,2025,1,kg,231.25788147762654,7051.977837778743,6798.98171544222,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarcaneStalk-iran-2010-2025-20250430,sugarcaneStalk,"Sugarcane, stalk",Iran,2010,2025,1,kg,535.1351351351351,35774.318918918914,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sugarcaneStalk-world-2010-2025-20250430,sugarcaneStalk,"Sugarcane, stalk",World,2010,2025,1,kg,95.57199493835185,4371.463048480214,,3,5,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sunflowerSeedWhole-france-2010-2025-20250207,sunflowerSeedWhole,"Sunflower, seed (whole)",France,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sunflowerSeedWhole-india-2010-2025-20250430,sunflowerSeedWhole,"Sunflower, seed (whole)",India,2010,2025,1,kg,,,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sunflowerSeedWhole-italy-1990-2009-20250430,sunflowerSeedWhole,"Sunflower, seed (whole)",Italy,1990,2009,1,kg,69.56157101597381,3227.726456712201,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sunflowerSeedWhole-italy-2010-2025-20250430,sunflowerSeedWhole,"Sunflower, seed (whole)",Italy,2010,2025,1,kg,46.53925585374742,2159.4680108697344,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sunflowerSeedWhole-portugal-2010-2025-20250430,sunflowerSeedWhole,"Sunflower, seed (whole)",Portugal,2010,2025,1,kg,558.6316854384808,29199.11956618395,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
sunflowerSeedWhole-turkey-country-2010-2025-20250430,sunflowerSeedWhole,"Sunflower, seed (whole)",Turkey (Country),2010,2025,1,kg,212.2623380640328,12320.342888250656,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
tomatoFruit-china-2010-2025-20250430,tomatoFruit,"Tomato, fruit",China,2010,2025,1,kg,25.19941216267584,1155.3174494221994,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
tomatoFruit-cote-divoire-2010-2025-20250427,tomatoFruit,"Tomato, fruit",Côte d'Ivoire,2010,2025,1,kg,6.464925825519093,41.18804243438215,44.284741904805784,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
tomatoFruit-india-2010-2025-20250430,tomatoFruit,"Tomato, fruit",India,2010,2025,1,kg,98.70701775392408,3009.971799388161,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
tomatoFruit-turkey-country-2010-2025-20250430,tomatoFruit,"Tomato, fruit",Turkey (Country),2010,2025,1,kg,48.6416915110208,2823.3097003741805,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
uradBeanSeedWhole-india-2010-2025-20250426,uradBeanSeedWhole,"Urad bean, seed (whole)",India,2010,2025,1,kg,,,0.0,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
uradBeanSeedWhole-myanmar-2010-2025-20250430,uradBeanSeedWhole,"Urad bean, seed (whole)",Myanmar,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
watermelonFruit-iran-2010-2025-20250430,watermelonFruit,"Watermelon, fruit",Iran,2010,2025,1,kg,0.0,0.0,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
wheatGrain-albania-2010-2025-20250430,wheatGrain,"Wheat, grain",Albania,2010,2025,1,kg,533.1704357142858,19500.708686250004,,1,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
wheatGrain-australia-2010-2025-20250430,wheatGrain,"Wheat, grain",Australia,2010,2025,1,kg,0.0,0.0,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
wheatGrain-china-2010-2025-20250430,wheatGrain,"Wheat, grain",China,2010,2025,1,kg,127.20881338087884,5832.142467073152,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
wheatGrain-india-2010-2025-20250426,wheatGrain,"Wheat, grain",India,2010,2025,1,kg,571.6559103254024,17432.07532946282,16806.68376356683,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
wheatGrain-italy-2010-2025-20250430,wheatGrain,"Wheat, grain",Italy,2010,2025,1,kg,0.038494113280871406,1.7861653503457142,,2,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
wheatGrain-russia-2010-2025-20250430,wheatGrain,"Wheat, grain",Russia,2010,2025,1,kg,0.0,0.0,,1,4,False,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
wheatGrain-united-kingdom-2010-2025-20250430,wheatGrain,"Wheat, grain",United Kingdom,2010,2025,1,kg,0.005918277800157128,0.019772966130324966,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
wheatGrain-united-states-2010-2025-20250207,wheatGrain,"Wheat, grain",United States,2010,2025,1,kg,0.0,0.0,,3,4,True,False,False,pu2wmwp8yfv7,v1.0 (2025-05-01)
